name,from,to,category
"The Martian","2015-07-01","2015-10-01","Film/Série"
"Interstellar","2014-09-01","2015-01-01","Film/Série"
"ET","1982-04-01","1982-08-01","Film/Série"
"The UFO incident","1975-08-01","1975-12-01","Film/Série"
"The X-Files","1993-07-01","1993-11-01","Film/Série"
"Independence Day","1996-05-01","1996-09-01","Film/Série"
"Pandémie","2020-02-01","2020-06-01","Autres"
"Pentagon UFO videos","2021-04-01","2021-05-01","Autres"
"UAP encounters videos","2021-04-01","2021-08-01","Autres"
"Pascagoula Abduction","1973-08-01","1973-12-01","Autres"
"Orbiting Solar Observatory","1975-04-01","1975-08-01","Mission Spatiale"
"Mars Pathfinder","1997-04-01","1997-08-01","Mission Spatiale"
"District 9","2009-06-01","2009-10-01","Film/Série"
"War of the Worlds","2005-05-01","2005-09-01","Film/Série"
"Signs","2002-06-01","2002-10-01","Film/Série"
"Mars Phoenix Lander","2007-08-04","2008-05-25","Mission Spatiale"
